Tipo Imóvel,Bairro,Dormitorios,Banheiros,Garagens,A. Terreno M²,A. Construída M²,Alarme,Ar Condicionado,Armários,Box Blindex,Cerca Elétrica,Churrasqueira,Cozinha,Escritório,Home Theater,Iluminação,Lavabo,Piscina,Porcelanato,Portão Eletronico,Sala de Estar,Sala de Jantar,Semi Mobiliado,Varanda,Precio
Casa Padrão,Jardim La Salle,4,4,5,476.00 ,308.00 ,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,2900000.00
Casa Padrão,Jardim Coopagro,1,2,,70.62 ,45.24 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,219000.00
Casa Padrão,Jardim Coopagro,1,2,,70.62 ,45.24 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,219000.00
Casa Padrão,Jardim Coopagro,1,2,,108.75 ,46.39 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,239000.00
Terreno Lote,Jardim Santa Clara IV,0,0,0,330.88 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000.00
Apartamento Padrão,Jardim La Salle,2,3,2,150.00 ,103.00 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,612000.00
Apartamento Padrão,Jardim La Salle,2,3,2,150.00 ,103.00 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,602000.00
Apartamento Padrão,Jardim La Salle,2,3,2,150.00 ,103.00 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,572000.00
Apartamento Padrão,Jardim La Salle,2,3,2,150.00 ,103.00 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,572000.00
Casa Padrão,São Francisco,1,2,,149.40 ,69.18 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,238000.00
Rural Chácara com Casa,Jardim Pancera,0,0,0,5000.00 ,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3700000.00
Casa Padrão,Jardim Pancera,2,2,3,245.00 ,165.26 ,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,950000.00
Apartamento Padrão,Jardim La Salle,2,2,,86.74 ,62.71 ,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,350000.00
Apartamento Padrão,Jardim La Salle,1,2,,86.74 ,62.71 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,320000.00
Apartamento Padrão,Jardim La Salle,1,2,,86.74 ,62.71 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,320000.00
Apartamento Padrão,Jardim La Salle,1,2,,86.74 ,62.71 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,307000.00
Apartamento Padrão,Jardim La Salle,1,2,,86.00 ,62.71 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,307000.00
Apartamento Padrão,Jardim La Salle,1,2,,86.00 ,62.71 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,298000.00
Apartamento Padrão,Jardim La Salle,1,2,,86.00 ,62.71 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,298000.00
Casa Padrão,Jardim Pancera,2,3,2,240.00 ,152.86 ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,950000.00
Casa Padrão,Jardim Pancera,2,3,2,240.00 ,152.86 ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,950000.00
Apartamento Padrão,Jardim La Salle,2,3,2,190.00 ,108.00 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,900000.00
Terreno Lote,Jardim La Salle,0,0,0,464.40 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700000.00
Casa Padrão,São Luiz do Oeste,3,3,3,800.00 ,89.00 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,350000.00
Apartamento Padrão,Centro,1,2,,67.80 ,57.00 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,205000.00
Apartamento Padrão,Jardim Porto Alegre,1,2,,76.30 ,57.54 ,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,450000.00
Casa Padrão,Jardim Coopagro,1,2,3,125.00 ,87.30 ,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,380000.00
Apartamento Cobertura,Jardim La Salle,4,3,4,0,160.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000.00
Apartamento Padrão,Jardim La Salle,2,3,2,160.00 ,105.00 ,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,620000.00
Apartamento Padrão,Jardim La Salle,2,3,2,160.00 ,105.00 ,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,620000.00
Apartamento Padrão,Jardim La Salle,2,3,2,160.00 ,105.00 ,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,620000.00
